Loan Status,Number of Dependents,Education,Self Employed,Income per Annum,Loan Amount,Loan Term,Cibil Score,Residential Assets Value,Commercial Assets Value,Luxury Assets Value,Bank Asset Value
0,2,0,1,6000000,13000000,12,462,2100000,2500000,14600000,5600000
0,0,1,0,8000000,23700000,10,305,22200000,11600000,17200000,12000000
0,4,0,0,8200000,20700000,10,546,10800000,7000000,25000000,10600000
0,2,0,0,2400000,8800000,18,421,3200000,1500000,6700000,1400000
0,0,0,1,2600000,5400000,2,377,100000,4900000,6100000,2700000
0,3,0,0,6900000,15600000,20,310,4500000,3600000,20400000,4800000
0,1,0,1,4300000,14100000,12,525,2100000,1100000,14100000,5500000
0,5,0,0,700000,2400000,20,330,1300000,700000,2500000,500000
0,0,1,1,500000,1100000,18,479,1500000,500000,1800000,600000
0,5,0,0,9600000,20700000,14,442,25800000,9800000,31800000,8200000
0,3,1,1,3300000,9800000,6,360,4500000,600000,11000000,4400000
0,3,0,0,2800000,5900000,4,461,1600000,400000,8900000,2800000
0,0,1,0,5600000,13400000,2,460,3400000,4100000,14800000,4100000
0,1,0,0,1400000,3300000,8,306,3200000,800000,2700000,800000
0,5,1,1,500000,1400000,4,471,500000,100000,1300000,300000
0,3,1,0,9800000,25600000,10,404,24400000,6700000,37000000,11500000
0,1,0,1,2500000,6700000,2,502,3400000,2600000,9400000,1400000
0,0,0,0,5100000,13600000,18,351,1700000,3700000,14400000,7600000
0,2,0,1,7600000,23600000,6,358,20200000,2900000,22100000,10900000
0,0,1,0,5800000,21100000,6,414,7900000,2400000,16000000,5600000
0,3,1,1,7900000,26600000,12,409,17100000,1400000,22500000,8700000
0,4,1,1,700000,2600000,18,478,600000,600000,2100000,300000
0,3,1,1,7800000,27700000,6,430,2000000,8000000,26100000,5300000
0,4,0,0,2700000,7000000,4,351,1100000,2300000,8300000,2700000
0,5,0,0,600000,2300000,4,347,0,0,1900000,200000
0,2,0,1,2500000,6900000,12,325,5800000,1600000,6400000,3600000
0,0,0,1,2500000,8800000,14,389,7300000,1400000,8500000,3600000
0,3,1,0,3100000,8500000,12,493,8700000,5100000,12000000,2000000
0,5,0,0,6500000,21600000,10,419,1600000,10900000,22300000,6600000
0,2,0,1,5900000,15800000,2,444,14300000,4300000,20300000,5500000
0,5,0,1,6500000,15800000,16,301,9200000,9900000,17400000,7100000
0,0,1,1,3800000,11200000,20,479,1100000,6400000,12000000,5400000
0,3,0,1,3000000,11400000,10,424,1800000,4200000,10900000,1500000
0,0,1,0,4300000,16900000,18,469,200000,5800000,12000000,6200000
0,3,0,0,300000,500000,2,477,700000,200000,800000,400000
0,3,0,1,600000,1400000,16,509,600000,300000,2400000,900000
0,2,0,1,1800000,3600000,4,343,3400000,1100000,6200000,1500000
0,2,0,1,2800000,10100000,16,531,2900000,2900000,7200000,4100000
0,0,1,1,3600000,8600000,6,529,3500000,3300000,11300000,5200000
0,1,0,0,6200000,19500000,20,448,3300000,7100000,22400000,8000000
0,1,1,0,5900000,13000000,2,386,16300000,5000000,12000000,3800000
0,5,0,1,9800000,37900000,18,301,6700000,4900000,34300000,6200000
0,4,1,1,300000,500000,14,448,700000,100000,800000,100000
0,2,0,0,8600000,21700000,4,429,5500000,10800000,30900000,6000000
0,3,1,0,5100000,11000000,6,336,-100000,5800000,11600000,7500000
0,2,1,1,3800000,14400000,2,301,2300000,1400000,7600000,2400000
0,2,0,1,5300000,21200000,14,516,2200000,5000000,20900000,7700000
0,5,0,0,1100000,3600000,12,315,1300000,700000,3100000,1400000
0,3,0,0,6400000,14400000,10,546,10600000,10000000,21200000,5100000
0,1,1,1,1600000,4900000,16,487,4300000,1100000,3900000,2000000
0,4,1,0,8100000,19000000,6,375,4100000,14500000,19100000,11900000
0,4,1,0,4600000,9400000,18,545,800000,2400000,11500000,6300000
0,1,0,0,2900000,8900000,6,523,900000,5600000,9700000,1800000
0,4,0,0,3800000,14900000,20,428,6500000,3500000,12200000,2500000
0,1,1,1,9800000,23300000,12,430,3200000,12600000,30500000,13900000
0,0,0,0,6600000,14100000,20,360,6800000,5100000,25400000,7800000
0,0,0,0,9100000,18300000,14,458,6100000,9200000,34100000,10000000
0,1,0,0,2400000,5600000,16,379,3700000,600000,7200000,3400000
0,4,1,0,9600000,25500000,20,544,4000000,11400000,23800000,11100000
0,2,0,0,1600000,5200000,16,525,300000,2900000,5600000,1600000
0,5,1,1,800000,2500000,12,403,500000,0,3200000,800000
0,1,1,0,8300000,28900000,12,529,18300000,3900000,32500000,5800000
0,4,1,0,2800000,6100000,18,415,2200000,4200000,8400000,2000000
0,0,1,0,2900000,9800000,16,395,5400000,4300000,8600000,2400000
0,0,1,0,6500000,24100000,20,488,3300000,6000000,22900000,9700000
0,5,0,1,900000,1800000,14,464,2300000,300000,1800000,700000
0,4,0,1,3700000,7400000,12,363,4800000,6800000,10500000,4400000
0,1,1,0,7200000,21000000,14,421,3500000,11600000,21800000,4600000
0,0,0,1,9400000,34200000,10,512,13100000,15600000,32600000,6300000
0,0,0,1,3300000,10000000,16,434,3000000,4100000,12900000,4100000
0,2,1,1,5900000,14300000,2,410,11900000,4400000,16900000,4100000
0,4,0,1,7000000,23500000,18,336,15000000,9500000,19700000,7800000
0,5,1,0,8100000,21900000,18,378,5200000,3400000,16200000,9600000
0,1,0,1,7800000,27200000,16,454,16100000,3400000,17100000,11400000
0,2,1,0,8900000,28500000,6,367,22200000,16600000,21500000,9300000
0,1,1,0,1400000,3100000,20,384,200000,1200000,4200000,1800000
0,4,1,1,9800000,27000000,2,395,18700000,3000000,23000000,9700000
0,3,1,1,7700000,16200000,6,380,11500000,15100000,22500000,6400000
0,5,1,0,9900000,35700000,10,392,7900000,4300000,39200000,13000000
0,0,1,0,3900000,14500000,8,545,5900000,3000000,10300000,3400000
0,4,1,0,7100000,19800000,18,530,7100000,3400000,20900000,7100000
0,2,0,0,4400000,12000000,20,421,9300000,2700000,15700000,3400000
0,3,1,1,8600000,30300000,14,459,12000000,4100000,23800000,9100000
0,2,1,1,8100000,25700000,8,455,22300000,11500000,19800000,9500000
0,2,0,1,2100000,5600000,16,426,400000,300000,7100000,1200000
0,4,0,1,9000000,21500000,14,508,16600000,17300000,24300000,13100000
0,1,1,1,8300000,16800000,2,366,22000000,6600000,27300000,4500000
0,2,0,0,300000,600000,2,383,600000,300000,1100000,400000
0,0,0,0,6600000,20300000,6,549,10800000,900000,23100000,9800000
0,5,1,1,1800000,5300000,12,461,2800000,2000000,4700000,2000000
0,3,0,1,7000000,16100000,16,379,2000000,5200000,23000000,10000000
0,0,0,1,9600000,22900000,8,515,4300000,14700000,33300000,7800000
0,5,1,1,9600000,38000000,10,359,2100000,13600000,38200000,9400000
0,4,1,0,5900000,19900000,14,469,14200000,6800000,22100000,3200000
0,4,0,1,500000,1500000,6,461,1300000,500000,1700000,200000
0,0,1,1,9800000,23900000,14,459,1000000,13400000,21100000,7200000
0,4,0,0,6500000,24000000,16,373,5600000,5100000,15600000,6700000
0,5,1,1,7500000,26500000,12,512,16500000,2900000,23700000,6000000
0,4,1,1,1800000,5800000,14,305,600000,3300000,3600000,2000000
0,1,0,1,7600000,27800000,6,447,1300000,700000,20100000,10900000
0,1,0,1,4600000,10900000,12,463,1200000,1200000,10900000,6600000
0,4,1,0,3500000,11600000,10,335,6300000,5200000,10300000,2300000
0,5,0,0,400000,800000,18,304,900000,500000,1400000,400000
0,5,0,1,3600000,12400000,8,333,8800000,1000000,10700000,4000000
0,1,0,1,4400000,16600000,18,385,800000,5300000,13400000,5100000
0,3,1,0,3900000,14100000,16,496,2500000,2200000,13700000,2900000
0,3,0,1,6300000,17700000,2,542,16800000,900000,16400000,5300000
0,3,1,1,2200000,5300000,2,506,1600000,1700000,5800000,2800000
0,3,1,1,3500000,13000000,6,391,6100000,3500000,13300000,4300000
0,5,0,0,500000,1500000,12,527,100000,600000,1100000,200000
0,5,0,0,9900000,35800000,20,470,9500000,18400000,39100000,14700000
0,1,1,0,5000000,18800000,14,325,13100000,5700000,12800000,4300000
0,5,1,1,3000000,11900000,14,459,6000000,4800000,11700000,4200000
0,3,0,1,9400000,21400000,10,323,5100000,15500000,29600000,11300000
0,1,1,0,3100000,7400000,18,487,8400000,1200000,9200000,4500000
0,3,0,0,3200000,9200000,14,443,3300000,1100000,7200000,4500000
0,2,1,0,700000,2600000,20,489,100000,200000,2400000,900000
0,4,0,1,3100000,8600000,14,427,3100000,3800000,9900000,3700000
0,0,1,1,4500000,10500000,20,417,9800000,2000000,9600000,5800000
0,2,0,0,1500000,4500000,18,428,4500000,1200000,5600000,1100000
0,4,0,1,6300000,15200000,16,415,15500000,1800000,20700000,7900000
0,3,0,1,6500000,18200000,20,405,10400000,2800000,21300000,6700000
0,4,0,0,3900000,10000000,10,530,10900000,200000,12300000,1900000
0,3,1,1,8000000,26300000,12,476,21700000,6600000,16400000,9000000
0,4,0,0,7600000,30300000,12,339,20400000,8000000,22200000,5800000
0,5,0,1,2700000,6800000,6,461,4500000,2000000,8200000,1700000
0,3,0,0,7700000,18700000,8,483,15100000,5600000,24600000,10200000
0,2,1,0,4500000,17200000,18,406,4100000,6300000,13800000,3300000
0,2,1,1,9400000,24800000,14,513,24200000,18200000,37200000,7500000
0,2,1,1,4900000,12000000,20,513,14200000,8100000,18300000,4800000
0,4,0,1,4100000,9600000,10,521,11900000,7100000,14100000,4900000
0,1,0,1,1300000,5000000,20,423,900000,800000,3900000,1600000
0,2,0,0,2100000,5000000,4,542,700000,600000,6600000,3100000
0,4,1,0,7000000,24500000,18,318,4300000,1700000,16300000,3600000
0,1,0,1,3000000,6800000,10,541,5800000,5700000,10700000,2900000
0,4,0,0,7600000,28100000,12,324,12500000,8500000,19900000,11100000
0,4,1,0,5500000,21200000,20,359,4200000,5300000,18600000,6400000
0,0,0,1,6600000,23300000,12,338,2400000,800000,18900000,9300000
0,0,1,0,1400000,3200000,14,384,3100000,800000,3400000,2000000
0,5,0,1,8800000,26600000,16,545,19100000,16600000,30400000,7600000
0,5,1,1,7800000,22000000,20,528,5800000,8800000,24700000,4900000
0,0,1,1,9400000,20000000,4,350,3300000,1400000,37200000,4700000
0,0,0,0,1700000,5700000,12,422,3400000,1100000,6500000,900000
0,5,1,0,4000000,13700000,6,496,-100000,1400000,15800000,3700000
0,0,0,0,4700000,15500000,16,311,12800000,200000,17500000,2700000
0,1,1,0,7000000,20500000,10,414,19700000,7500000,20700000,5100000
0,4,0,0,7600000,29900000,18,445,4800000,13900000,18400000,5700000
0,3,0,0,9000000,21400000,8,496,16400000,7300000,31800000,12500000
0,5,1,1,3500000,13500000,10,535,3100000,5700000,12500000,3100000
0,4,1,1,8900000,34000000,20,415,13500000,3100000,33600000,12800000
0,0,0,0,4500000,17500000,10,495,10300000,3500000,9700000,6200000
0,1,0,0,3800000,9800000,8,335,100000,5100000,14200000,1800000
0,3,0,0,1200000,2400000,12,480,3000000,100000,3100000,1700000
0,4,1,0,5200000,14100000,16,483,11800000,800000,19200000,2700000
0,1,0,0,1600000,5100000,12,548,2200000,2700000,3600000,800000
0,4,1,1,6600000,16000000,16,379,6500000,12600000,24700000,4500000
0,4,1,1,300000,500000,2,353,600000,100000,1200000,400000
0,4,1,0,4700000,13100000,14,492,1000000,4500000,14100000,6400000
0,1,0,1,9200000,24500000,4,545,25700000,0,20600000,13300000
0,3,1,1,4900000,14300000,14,439,10300000,5600000,17400000,5100000
0,3,1,1,9100000,18800000,20,308,14500000,10200000,20500000,4800000
0,5,1,0,6100000,23500000,16,300,300000,700000,22800000,4800000
0,3,1,1,9900000,29900000,20,490,10500000,9100000,27100000,7400000
0,2,0,0,9500000,25400000,16,451,19000000,2900000,33800000,11400000
0,2,0,0,7800000,17100000,14,351,19000000,7200000,19300000,7100000
0,4,0,0,400000,1000000,10,447,0,300000,900000,300000
0,2,1,0,9100000,21700000,12,549,25500000,11000000,34700000,12200000
0,4,0,0,7100000,14300000,14,537,13700000,10400000,18200000,6100000
0,0,1,1,4500000,9600000,14,471,3200000,7700000,11000000,3600000
0,5,1,0,8500000,25400000,4,336,8500000,1200000,30600000,9000000
0,3,0,1,2500000,9800000,16,424,4700000,3200000,5800000,1300000
0,2,1,0,1500000,3300000,18,440,800000,2300000,3000000,1800000
0,1,0,1,1300000,2900000,6,480,2900000,300000,2900000,1400000
0,0,1,1,5300000,13700000,6,329,8800000,7600000,11200000,2800000
0,3,1,0,8300000,18900000,4,316,20200000,9700000,21300000,8200000
0,2,0,1,8900000,32200000,12,382,0,11300000,20500000,5400000
0,0,1,0,6200000,20100000,20,345,9300000,5900000,17400000,4100000
0,3,0,1,5900000,19200000,10,442,9500000,500000,18300000,4700000
0,1,1,0,300000,1200000,18,747,100000,0,700000,200000
0,1,1,1,9000000,22800000,10,412,0,15600000,32000000,4700000
0,2,0,0,4100000,11100000,8,390,800000,3100000,10100000,3400000
0,3,0,1,300000,1000000,12,469,600000,400000,700000,300000
0,4,1,0,4700000,10400000,6,373,6800000,8600000,14300000,5400000
0,0,1,0,7600000,28700000,6,397,11000000,13200000,24600000,3800000
0,3,0,0,4100000,12200000,2,457,700000,500000,14100000,4900000
0,3,0,0,4300000,11100000,6,312,4800000,3800000,10100000,3300000
0,3,0,0,6600000,21400000,10,467,15200000,6000000,20300000,5200000
0,5,0,0,9700000,28400000,4,494,5300000,12000000,24400000,10000000
0,0,0,1,5400000,10900000,20,366,3700000,500000,21000000,4800000
0,1,0,1,1800000,5500000,10,426,5000000,1500000,5900000,1600000
0,0,0,0,2900000,6900000,10,320,5100000,500000,7700000,1500000
0,3,0,1,1400000,4600000,8,543,1500000,1200000,2700000,2000000
0,2,1,0,2800000,11000000,16,525,8200000,1800000,5800000,2400000
0,1,0,0,3900000,15100000,12,527,10600000,5100000,11100000,3800000
0,1,1,1,2200000,8700000,20,539,1000000,4000000,8200000,2600000
0,5,0,0,2200000,7200000,10,532,2700000,300000,7500000,1600000
0,3,0,1,2500000,7700000,16,485,2000000,3600000,5600000,3200000
0,0,0,1,900000,2100000,6,521,100000,1700000,2100000,700000
0,1,1,1,8600000,19600000,16,498,14800000,3000000,21000000,5300000
0,2,1,1,4800000,13200000,20,310,11800000,4600000,12900000,4200000
0,0,1,0,3600000,8700000,10,309,6300000,1000000,8600000,3300000
0,3,1,1,6500000,22400000,6,488,16800000,11700000,21700000,6800000
0,0,0,0,9600000,38200000,8,421,1600000,14100000,33600000,13800000
0,3,1,0,4700000,17400000,10,393,12400000,5300000,18700000,5300000
0,5,1,0,5900000,13400000,6,455,3200000,11200000,21600000,6900000
0,4,1,1,7900000,21500000,16,497,2200000,5200000,23100000,7700000
0,5,0,1,3400000,9400000,16,535,3100000,5600000,12900000,3200000
0,0,1,0,5900000,11800000,12,468,9100000,10000000,17500000,6200000
0,1,0,0,2600000,7900000,12,306,2000000,2400000,7600000,3300000
0,4,0,1,1500000,4600000,6,524,3700000,2000000,5000000,1400000
0,2,1,1,600000,2400000,6,454,100000,600000,2300000,300000
0,1,1,1,9900000,34100000,14,371,24400000,7100000,29300000,6200000
0,2,0,0,3200000,10500000,12,502,4300000,1500000,10000000,4500000
0,0,1,0,2900000,7800000,8,367,700000,3700000,7700000,3600000
0,0,0,0,7000000,18300000,6,541,6300000,6400000,20800000,8300000
0,5,0,1,2500000,9600000,6,345,1900000,1900000,6800000,2600000
0,2,0,1,5600000,20000000,10,367,13700000,5000000,19100000,6000000
0,5,0,1,4800000,16400000,14,390,8400000,2400000,9500000,4000000
0,0,1,0,8100000,21300000,2,392,14200000,6600000,31500000,11000000
0,5,1,0,1800000,6800000,18,457,2200000,1100000,3800000,1400000
0,2,0,1,5300000,12300000,14,472,10000000,1600000,20400000,3300000
0,3,1,0,8300000,30500000,10,473,13300000,9400000,23300000,11800000
0,5,1,1,5300000,17800000,16,505,9200000,8500000,14600000,4100000
0,0,1,1,5600000,19300000,6,407,3400000,3600000,14200000,8400000
0,1,1,1,900000,1700000,18,464,1300000,0,1900000,700000
0,0,1,1,2400000,7200000,20,514,4100000,2100000,6700000,1800000
0,1,0,1,8100000,26900000,6,522,23000000,2100000,18700000,4200000
0,5,0,1,3000000,6600000,16,462,5500000,3500000,9100000,3600000
0,0,0,1,2100000,4900000,10,359,1000000,800000,6100000,1000000
0,4,1,1,9700000,25000000,4,542,9800000,12000000,29300000,13400000
0,3,1,0,900000,3100000,10,369,1400000,100000,1700000,500000
0,5,0,1,9800000,23200000,10,416,11000000,17300000,21600000,8500000
0,0,1,0,1800000,5700000,18,306,500000,700000,5600000,1700000
0,3,1,0,4300000,16300000,10,366,6900000,6700000,12300000,5500000
0,1,1,0,1200000,2800000,12,431,900000,400000,2900000,900000
0,5,1,1,5400000,11200000,10,447,300000,7900000,21400000,6000000
0,1,0,1,5300000,14100000,14,510,13300000,10400000,18900000,7800000
0,1,1,0,7300000,24200000,20,324,12900000,3700000,18400000,9000000
0,5,1,0,9500000,19200000,2,523,13500000,1500000,21000000,6700000
0,0,0,1,7200000,15600000,2,362,2700000,2400000,20800000,5900000
0,1,1,1,9500000,30500000,18,500,1300000,3300000,20500000,5500000
0,4,0,0,2900000,8700000,6,409,3700000,5500000,8200000,2200000
0,5,0,0,4200000,13400000,16,545,9800000,8200000,12500000,3500000
0,0,0,0,7600000,26500000,6,515,6200000,14900000,22000000,4000000
0,1,0,1,4700000,16000000,14,406,4000000,5300000,14300000,3300000
0,3,1,0,4500000,12500000,12,469,4100000,7600000,14200000,3400000
0,3,1,1,3200000,9900000,10,316,9100000,5500000,8800000,3600000
0,2,0,1,2900000,10200000,10,315,8100000,400000,6500000,1600000
0,0,0,0,4200000,14800000,20,510,9200000,5700000,11900000,2600000
0,2,0,1,3100000,10700000,16,357,9200000,1900000,7700000,3800000
0,2,1,0,6700000,21400000,8,370,3200000,11800000,20100000,8600000
0,4,0,1,1600000,4400000,20,382,1700000,300000,5200000,1900000
0,2,0,0,3900000,14900000,6,415,2200000,4300000,9500000,4600000
0,1,0,0,9800000,21300000,2,356,23000000,12300000,25700000,14600000
0,1,1,1,6400000,13900000,12,313,18600000,6300000,18600000,4900000
0,0,1,0,9200000,30700000,10,455,24900000,2000000,32900000,5200000
0,1,0,0,7800000,24900000,6,500,15300000,10000000,16500000,4500000
0,1,0,1,4000000,9400000,8,509,1000000,4100000,10800000,5500000
0,2,0,1,6100000,19400000,8,379,5300000,10800000,14300000,4100000
0,4,1,1,1100000,2700000,18,301,2800000,1600000,3300000,1500000
0,3,0,0,3400000,13500000,10,348,7900000,3700000,8200000,4700000
0,0,1,1,9400000,20000000,6,389,16000000,7100000,19400000,10200000
0,5,1,0,5400000,19700000,20,423,6500000,10000000,15700000,7300000
0,1,0,1,5200000,11200000,2,370,9900000,10200000,16700000,6400000
0,5,0,0,8500000,31300000,12,378,21400000,13100000,30400000,8800000
0,4,0,0,900000,1900000,20,417,1000000,800000,2800000,900000
0,1,0,0,1400000,4100000,20,530,1200000,1100000,3000000,1900000
0,1,0,1,2400000,9300000,20,543,700000,800000,5000000,3400000
0,1,1,0,3100000,7600000,20,346,700000,4600000,8100000,4400000
0,4,1,1,6900000,19000000,14,330,9300000,7100000,18800000,8400000
0,0,0,0,3100000,10100000,14,376,6400000,2600000,11600000,4300000
0,4,0,0,600000,1200000,14,338,500000,500000,2300000,500000
0,1,1,0,2500000,6900000,20,495,4800000,3300000,5700000,3700000
0,1,1,0,8400000,24700000,8,519,12900000,16700000,17300000,6000000
0,3,1,1,3800000,15100000,20,540,9400000,1000000,9300000,3600000
0,2,0,0,5700000,21300000,10,323,1600000,11200000,16200000,5100000
0,1,1,1,5500000,19700000,10,312,12800000,4800000,19500000,3300000
0,2,0,1,1600000,4300000,20,512,3200000,2500000,6300000,900000
0,3,0,1,700000,1600000,18,303,600000,500000,2000000,600000
0,2,1,0,6400000,16900000,16,472,11100000,6000000,16300000,4500000
0,1,1,1,5500000,12100000,4,350,6300000,9200000,17200000,6900000
0,4,0,0,6700000,13400000,10,436,3600000,1200000,23200000,7500000
0,4,0,1,2500000,6100000,20,478,5900000,800000,9500000,3200000
0,4,1,1,2600000,5900000,6,471,3500000,1900000,7300000,3400000
0,4,0,0,5300000,18500000,8,470,2900000,9300000,14900000,4900000
0,4,0,1,3500000,12000000,8,314,7700000,100000,12600000,2700000
0,2,1,0,4200000,10200000,14,407,5900000,4500000,12000000,2500000
0,2,1,0,4300000,9800000,2,499,4400000,4500000,12600000,5100000
0,5,0,1,5400000,18800000,20,326,9700000,10100000,14800000,3200000
0,0,0,0,4100000,14500000,12,441,9900000,300000,15700000,3900000
0,5,0,0,3300000,8400000,18,520,500000,6300000,11000000,4000000
0,4,0,1,3500000,10300000,10,337,9000000,5600000,10500000,4500000
0,0,0,1,7800000,19000000,12,333,15400000,14900000,30600000,9600000
0,5,0,1,7500000,17000000,8,300,7800000,8300000,18900000,6700000
0,4,0,0,7200000,18900000,16,371,6600000,14100000,18900000,4900000
0,2,0,1,5700000,18100000,20,491,6800000,100000,17700000,3900000
0,1,0,0,900000,3500000,18,395,2500000,800000,3000000,1300000
0,0,0,1,2200000,7500000,10,497,2300000,2100000,5700000,1800000
0,3,0,1,1800000,5300000,14,440,2000000,100000,3700000,1000000
0,2,1,1,7600000,18100000,14,320,14700000,2600000,28100000,8500000
0,3,1,0,2300000,6800000,10,418,2800000,2700000,6300000,1400000
0,0,0,1,8000000,21100000,6,306,16100000,11800000,28200000,8700000
0,2,0,1,9500000,36800000,6,493,24100000,13800000,32100000,6200000
0,2,1,0,9300000,21200000,2,509,2800000,2600000,35800000,6600000
0,0,0,1,4600000,14800000,6,433,12100000,4600000,11100000,6700000
0,0,0,0,2500000,6900000,12,471,7100000,4000000,5200000,1500000
0,4,0,1,5200000,11400000,10,406,14700000,2000000,13000000,4400000
0,5,0,0,6000000,19700000,20,376,14700000,10700000,17100000,5500000
0,1,1,0,5100000,13800000,14,350,6200000,2200000,12600000,3600000
0,3,1,1,7600000,30000000,10,344,19000000,13700000,27600000,11100000
0,1,1,0,5100000,11800000,12,314,14700000,7600000,12400000,4900000
0,4,1,1,1500000,3300000,16,382,200000,2400000,3200000,1100000
0,2,0,1,6200000,16500000,4,510,14100000,4700000,18200000,6300000
0,2,1,1,6300000,24600000,8,464,7700000,2200000,13000000,6900000
0,1,1,1,5500000,14900000,2,403,7400000,8900000,19700000,4100000
0,1,1,0,1100000,3600000,20,495,1600000,1100000,3100000,500000
0,1,0,1,3000000,6000000,16,518,3800000,1700000,11600000,3900000
0,0,0,0,8400000,22300000,14,371,8300000,3700000,22300000,9100000
0,1,1,0,7700000,27300000,8,509,10100000,2200000,20200000,10800000
0,1,1,0,4700000,14000000,2,411,4600000,5100000,10600000,3700000
0,2,0,0,5300000,13100000,14,417,4900000,6200000,18200000,6800000
0,3,0,0,400000,1100000,16,504,200000,400000,800000,400000
0,0,0,0,2100000,5900000,14,402,4400000,0,4800000,1000000
0,2,1,1,1200000,3500000,16,540,3100000,1800000,3500000,800000
0,1,1,1,5000000,19400000,10,410,11600000,6200000,11700000,4500000
0,2,0,1,8500000,30900000,14,511,23300000,4400000,21900000,5500000
0,3,0,1,1400000,3800000,16,451,3100000,1300000,4300000,1300000
0,1,0,1,3700000,10200000,4,447,300000,2000000,14500000,3200000
0,2,1,0,5600000,19500000,8,429,6100000,2200000,21100000,7200000
0,1,1,0,2900000,11100000,20,478,4200000,2900000,8500000,3000000
0,0,1,1,2400000,5900000,14,319,2000000,4200000,9500000,3300000
0,3,1,0,5000000,17600000,8,303,6300000,9600000,12800000,6900000
0,3,0,1,5000000,16700000,20,420,1100000,5000000,18700000,6900000
0,1,0,0,4500000,12400000,6,504,12000000,3200000,13100000,2200000
0,5,0,1,200000,300000,8,412,-100000,100000,500000,100000
